-DOCSTART-,O
,O
Check,O
the,O
appropriate,O
box,O
:,O
,O
Payment,O
of,O
Filing,O
Fee,O
(,O
check,O
the,O
appropriate,O
box,O
),O
:,O
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Dividend,I-BUSINESS
Advantage,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
(,O
NAN,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Dividend,I-BUSINESS
Advantage,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
2,I-BUSINESS
(,O
NXK,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Investment,I-BUSINESS
Quality,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
",",I-BUSINESS
Inc.,I-BUSINESS
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Municipal,I-BUSINESS
Value,I-BUSINESS
Fund,I-BUSINESS
",",I-BUSINESS
Inc.,I-BUSINESS
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Municipal,I-BUSINESS
Value,I-BUSINESS
Fund,I-BUSINESS
2,I-BUSINESS
(,O
NYV,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Performance,I-BUSINESS
Plus,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
",",I-BUSINESS
Inc.,I-BUSINESS
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Quality,I-BUSINESS
Income,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
",",I-BUSINESS
Inc.,I-BUSINESS
,O
Nuveen,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Select,I-BUSINESS
Quality,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
",",I-BUSINESS
Inc.,I-BUSINESS
,O
Nuveen,I-BUSINESS
Insured,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Dividend,I-BUSINESS
Advantage,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
(,O
NKO,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
Insured,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Premium,I-BUSINESS
Income,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
",",I-BUSINESS
Inc.,I-BUSINESS
,O
Nuveen,I-BUSINESS
Insured,I-BUSINESS
New,I-BUSINESS
York,I-BUSINESS
Tax-Free,I-BUSINESS
Advantage,I-BUSINESS
Municipal,I-BUSINESS
Fund,I-BUSINESS
(,O
NRK,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
Core,I-BUSINESS
Equity,I-BUSINESS
Alpha,I-BUSINESS
Fund,I-BUSINESS
(,O
JCE,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
Real,I-BUSINESS
Estate,I-BUSINESS
Income,I-BUSINESS
Fund,I-BUSINESS
(,O
JRS,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
Diversified,I-BUSINESS
Dividend,I-BUSINESS
and,I-BUSINESS
Income,I-BUSINESS
Fund,I-BUSINESS
(,O
JDD,I-BUSINESS
),O
,O
Nuveen,I-BUSINESS
