-DOCSTART- O

Check O
the O
appropriate O
box O
: O

Payment O
of O
Filing O
Fee O
( O
check O
the O
appropriate O
box O
) O
: O

Nuveen I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
NAN I-ORG
) O

Nuveen I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
2 I-ORG
( O
NXK I-ORG
) O

Nuveen I-ORG
New I-ORG
York I-ORG
Investment I-ORG
Quality I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Municipal I-ORG
Value I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Municipal I-ORG
Value I-ORG
Fund I-ORG
2 I-ORG
( O
NYV I-ORG
) O

Nuveen I-ORG
New I-ORG
York I-ORG
Performance I-ORG
Plus I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Quality I-ORG
Income I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Select I-ORG
Quality I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
NKO I-ORG
) O

Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Premium I-ORG
Income I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Tax-Free I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
NRK I-ORG
) O

Nuveen I-ORG
Core I-ORG
Equity I-ORG
Alpha I-ORG
Fund I-ORG
( O
JCE I-ORG
) O

Nuveen I-ORG
Real I-ORG
Estate I-ORG
Income I-ORG
Fund I-ORG
( O
JRS I-ORG
) O

Nuveen I-ORG
Diversified I-ORG
Dividend I-ORG
and I-ORG
Income I-ORG
Fund I-ORG
( O
JDD I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
and I-ORG
Growth I-ORG
Fund I-ORG
( O
JPG I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Advantage I-ORG
Fund I-ORG
( O
JLA I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Income I-ORG
Fund I-ORG
( O
JPZ I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Opportunity I-ORG
Fund I-ORG
( O
JSN I-ORG
) O

Nuveen I-ORG
Quality I-ORG
Preferred I-ORG
Income I-ORG
Fund I-ORG
( O
JTP I-ORG
) O

Nuveen I-ORG
Quality I-ORG
Preferred I-ORG
Income I-ORG
Fund I-ORG
2 I-ORG
( O
JPS I-ORG
) O

Nuveen I-ORG
Quality I-ORG
Preferred I-ORG
Income I-ORG
Fund I-ORG
3 I-ORG
( O
JHP I-ORG
) O

Nuveen I-ORG
Tax-Advantaged I-ORG
Total I-ORG
Return I-ORG
Strategy I-ORG
Fund I-ORG
( O
JTA I-ORG
) O

Nuveen I-ORG
Tax-Advantaged I-ORG
Dividend I-ORG
Growth I-ORG
Fund I-ORG
( O
JTD I-ORG
) O

Nuveen I-ORG
Global I-ORG
Government I-ORG
Enhanced I-ORG
Income I-ORG
Fund I-ORG
( O
JGG I-ORG
) O

Nuveen I-ORG
Global I-ORG
Value I-ORG
Opportunities I-ORG
Fund I-ORG
( O
JGV I-ORG
) O

Nuveen I-ORG
Multi-Currency I-ORG
Short-Term I-ORG
Government I-ORG
Income I-ORG
Fund I-ORG
( O
JGT I-ORG
) O

Nuveen I-ORG
Multi-Strategy I-ORG
Income I-ORG
and I-ORG
Growth I-ORG
Fund I-ORG
( O
JPC I-ORG
) O

Nuveen I-ORG
Multi-Strategy I-ORG
Income I-ORG
and I-ORG
Growth I-ORG
Fund I-ORG
2 I-ORG
( O
JQC I-ORG
) O

To O
the O
Shareholders O
of O
the O
Above O
Funds O
: O

Notice O
is O
hereby O
given O
that O
the O
Annual O
Meeting O
of O
Shareholders O
of O
each O
of O
Nuveen I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
New I-ORG
York I-ORG
Dividend I-ORG
) O
""",""" O
Nuveen I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
2 I-ORG
( O
New I-ORG
York I-ORG
Dividend I-ORG
2 I-ORG
) O
""",""" O
Nuveen I-ORG
New I-ORG
York I-ORG
Municipal I-ORG
Value I-ORG
Fund I-ORG
2 I-ORG
( O
New I-ORG
York I-ORG
Value I-ORG
2 I-ORG
) O
""",""" O
Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
Insured I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
) O
""",""" O
Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Tax-Free I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
Insured I-ORG
New I-ORG
York I-ORG
Tax-Free I-ORG
) O
""",""" O
Nuveen I-ORG
Core I-ORG
Equity I-ORG
Alpha I-ORG
Fund I-ORG
( O
Core I-ORG
Equity I-ORG
) O
""",""" O
Nuveen I-ORG
Real I-ORG
Estate I-ORG
Income I-ORG
Fund I-ORG
( O
Real I-ORG
Estate I-ORG
) O
""",""" O
Nuveen I-ORG
Diversified I-ORG
Dividend I-ORG
and I-ORG
Income I-ORG
Fund I-ORG
( O
Diversified I-ORG
Dividend I-ORG
) O
""",""" O
Nuveen I-ORG
Equity I-ORG
Premium I-ORG
and I-ORG
Growth I-ORG
Fund I-ORG
( O
Equity I-ORG
Premium I-ORG
) O
""",""" O
Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Advantage I-ORG
Fund I-ORG
( O
Equity I-ORG
Premium I-ORG
Advantage I-ORG
) O
""",""" O
Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Income I-ORG
Fund I-ORG
( O
Equity I-ORG
Premium I-ORG
Income I-ORG
) O
""",""" O
Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Opportunity I-ORG
Fund I-ORG
( O
Equity I-ORG
Premium I-ORG
Opportunity I-ORG
) O
""",""" O
Nuveen I-ORG
Quality I-ORG
Preferred I-ORG
Income I-ORG
Fund I-ORG
( O
Quality I-ORG
Preferred I-ORG
) O
""",""" O
Nuveen I-ORG
Quality I-ORG
Preferred I-ORG
Income I-ORG
Fund I-ORG
2 I-ORG
( O
Quality I-ORG
Preferred I-ORG
2 I-ORG
) O
""",""" O
Nuveen I-ORG
Quality I-ORG
Preferred I-ORG
Income I-ORG
Fund I-ORG
3 I-ORG
( O
Quality I-ORG
Preferred I-ORG
3 I-ORG
) O
""",""" O
Nuveen I-ORG
Tax-Advantaged I-ORG
Total I-ORG
Return I-ORG
Strategy I-ORG
Fund I-ORG
( O
Tax-Advantaged I-ORG
) O
""",""" O
Nuveen I-ORG
Tax-Advantaged I-ORG
Dividend I-ORG
Growth I-ORG
Fund I-ORG
( O
Tax-Advantaged I-ORG
Dividend I-ORG
) O
""",""" O
Nuveen I-ORG
Global I-ORG
Government I-ORG
Enhanced I-ORG
Income I-ORG
Fund I-ORG
( O
Global I-ORG
Government I-ORG
) O
""",""" O
Nuveen I-ORG
Global I-ORG
Value I-ORG
Opportunities I-ORG
Fund I-ORG
( O
Global I-ORG
Value I-ORG
) O
""",""" O
Nuveen I-ORG
Multi-Currency I-ORG
Short-Term I-ORG
Government I-ORG
Income I-ORG
Fund I-ORG
( O
Multi-Currency I-ORG
) O
""",""" O
Nuveen I-ORG
Multi-Strategy I-ORG
Income I-ORG
and I-ORG
Growth I-ORG
Fund I-ORG
( O
Multi-Strategy I-ORG
) O
and O
Nuveen I-ORG
Multi-Strategy I-ORG
Income I-ORG
and I-ORG
Growth I-ORG
Fund I-ORG
2 I-ORG
( O
Multi-Strategy I-ORG
2 I-ORG
) O
""",""" O
each O
a O
Massachusetts I-LOC
Business O
Trust O
""",""" O
and O
Nuveen I-ORG
New I-ORG
York I-ORG
Investment I-ORG
Quality I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG
( O
New I-ORG
York I-ORG
Investment I-ORG
Quality I-ORG
) O
""",""" O
Nuveen I-ORG
New I-ORG
York I-ORG
Municipal I-ORG
Value I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG
( O
New I-ORG
York I-ORG
Value I-ORG
) O
""",""" O
Nuveen I-ORG
New I-ORG
York I-ORG
Performance I-ORG
Plus I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG
( O
New I-ORG
York I-ORG
Performance I-ORG
Plus I-ORG
) O
""",""" O
Nuveen I-ORG
New I-ORG
York I-ORG
Quality I-ORG
Income I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG
( O
New I-ORG
York I-ORG
Quality I-ORG
) O
""",""" O
Nuveen I-ORG
New I-ORG
York I-ORG
Select I-ORG
Quality I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG
( O
New I-ORG
York I-ORG
Select I-ORG
) O
and O
Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Premium I-ORG
Income I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG
( O
Insured I-ORG
New I-ORG
York I-ORG
Premium I-ORG
) O
""",""" O
each O
a O
Minnesota I-LOC
Corporation O
( O
individually O
""",""" O
a O
Fund O
and O
collectively O
""",""" O
the O
Funds O
) O
""",""" O
will O
be O
held O
in O
the O
31st O
Floor O
Conference O
Room O
of O
Nuveen I-ORG
Investments I-ORG
""",""" O
333 O
West I-LOC
Wacker I-LOC
Drive I-LOC
""",""" O
Chicago I-LOC
""",""" O
Illinois I-LOC
""",""" O
on O
Tuesday O
""",""" O
April O
6 O
""",""" O
2010 O
""",""" O
at O
10:00 O
a.m. O
""",""" O
Central I-MISC
time I-MISC
( O
for O
each O
Fund O
""",""" O
an O
Annual O
Meeting O
) O
""",""" O
for O
the O
following O
purposes O
and O
to O
transact O
such O
other O
business O
""",""" O
if O
any O
""",""" O
as O
may O
properly O
come O
before O
the O
Annual O
Meeting O
. O

Matters O
to O
Be O
Voted O
on O
by O
Shareholders O
: O

Shareholders O
of O
record O
at O
the O
close O
of O
business O
on O
February O
8 O
""",""" O
2010 O
are O
entitled O
to O
notice O
of O
and O
to O
vote O
at O
the O
Annual O
Meeting O
. O

All O
shareholders O
are O
cordially O
invited O
to O
attend O
the O
Annual O
Meeting O
. O

In O
order O
to O
avoid O
delay O
and O
additional O
expense O
and O
to O
assure O
that O
your O
shares O
are O
represented O
""",""" O
please O
vote O
as O
promptly O
as O
possible O
""",""" O
regardless O
of O
whether O
or O
not O
you O
plan O
to O
attend O
the O
Annual O
Meeting O
. O

You O
may O
vote O
by O
mail O
""",""" O
telephone O
or O
over O
the O
Internet O
. O

To O
vote O
by O
mail O
""",""" O
please O
mark O
""",""" O
sign O
""",""" O
date O
and O
mail O
the O
enclosed O
proxy O
card O
. O

No O
postage O
is O
required O
if O
mailed O
in O
the O
United O
States O
. O

To O
vote O
by O
telephone O
""",""" O
please O
call O
the O
toll-free O
number O
located O
on O
your O
proxy O
card O
and O
follow O
the O
recorded O
instructions O
""",""" O
using O
your O
proxy O
card O
as O
a O
guide O
. O

To O
vote O
over O
the O
Internet O
""",""" O
go O
to O
the O
Internet O
address O
provided O
on O
your O
proxy O
card O
and O
follow O
the O
instructions O
""",""" O
using O
your O
proxy O
card O
as O
a O
guide O
. O

about O
March O
1 O
""",""" O
2010 O
. O

Nuveen I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
NAN I-ORG
) O

Nuveen I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
2 I-ORG
( O
NXK I-ORG
) O

Nuveen I-ORG
New I-ORG
York I-ORG
Investment I-ORG
Quality I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Municipal I-ORG
Value I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Municipal I-ORG
Value I-ORG
Fund I-ORG
2 I-ORG
( O
NYV I-ORG
) O

Nuveen I-ORG
New I-ORG
York I-ORG
Performance I-ORG
Plus I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Quality I-ORG
Income I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
New I-ORG
York I-ORG
Select I-ORG
Quality I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Dividend I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
NKO I-ORG
) O

Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Premium I-ORG
Income I-ORG
Municipal I-ORG
Fund I-ORG
""",""" I-ORG
Inc. I-ORG

Nuveen I-ORG
Insured I-ORG
New I-ORG
York I-ORG
Tax-Free I-ORG
Advantage I-ORG
Municipal I-ORG
Fund I-ORG
( O
NRK I-ORG
) O

Nuveen I-ORG
Core I-ORG
Equity I-ORG
Alpha I-ORG
Fund I-ORG
( O
JCE I-ORG
) O

Nuveen I-ORG
Real I-ORG
Estate I-ORG
Income I-ORG
Fund I-ORG
( O
JRS I-ORG
) O

Nuveen I-ORG
Diversified I-ORG
Dividend I-ORG
and I-ORG
Income I-ORG
Fund I-ORG
( O
JDD I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
and I-ORG
Growth I-ORG
Fund I-ORG
( O
JPG I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Advantage I-ORG
Fund I-ORG
( O
JLA I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Income I-ORG
Fund I-ORG
( O
JPZ I-ORG
) O

Nuveen I-ORG
Equity I-ORG
Premium I-ORG
Opportunity I-ORG
Fund I-ORG
( O
JSN I-ORG
) O

Nuveen I-ORG
Quality I-ORG
Preferred I-ORG
Income I-ORG
Fund I-ORG
( O
